Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","004","Afghanistan","511","Population totale","3010","Population-Estimations","2013","2013","1000 personnes","31541.209","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","511","Population totale","3010","Population-Estimations","2013","2013","1000 personnes","53873.616","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","511","Population totale","3010","Population-Estimations","2013","2013","1000 personnes","2887.014","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","511","Population totale","3010","Population-Estimations","2013","2013","1000 personnes","38000.626","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","276","Allemagne","511","Population totale","3010","Population-Estimations","2013","2013","1000 personnes","81680.591","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","020","Andorre","511","Population totale","3010","Population-Estimations","2013","2013","1000 personnes","71.367","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","024","Angola","511","Population totale","3010","Population-Estimations","2013","2013","1000 personnes","26147.002","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","660","Anguilla","511","Population totale","3010","Population-Estimations","2013","2013","1000 personnes","13.7","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","028","Antigua-et-Barbuda","511","Population totale","3010","Population-Estimations","2013","2013","1000 personnes","88.497","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","682","Arabie saoudite","511","Population totale","3010","Population-Estimations","2013","2013","1000 personnes","31482.498","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","032","Argentine","511","Population totale","3010","Population-Estimations","2013","2013","1000 personnes","42388.269","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","051","Arménie","511","Population totale","3010","Population-Estimations","2013","2013","1000 personnes","2901.385","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","533","Aruba","511","Population totale","3010","Population-Estimations","2013","2013","1000 personnes","102.88","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","036","Australie","511","Population totale","3010","Population-Estimations","2013","2013","1000 personnes","23111.782","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","040","Autriche","511","Population totale","3010","Population-Estimations","2013","2013","1000 personnes","8479.539","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","031","Azerbaïdjan","511","Population totale","3010","Population-Estimations","2013","2013","1000 personnes","9614.478","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","044","Bahamas","511","Population totale","3010","Population-Estimations","2013","2013","1000 personnes","385.65","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","048","Bahreïn","511","Population totale","3010","Population-Estimations","2013","2013","1000 personnes","1261.673","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","050","Bangladesh","511","Population totale","3010","Population-Estimations","2013","2013","1000 personnes","154030.139","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","052","Barbade","511","Population totale","3010","Population-Estimations","2013","2013","1000 personnes","276.865","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","112","Bélarus","511","Population totale","3010","Population-Estimations","2013","2013","1000 personnes","9691.137","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","056","Belgique","511","Population totale","3010","Population-Estimations","2013","2013","1000 personnes","11103.257","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","084","Belize","511","Population totale","3010","Population-Estimations","2013","2013","1000 personnes","344.688","X","Ciffre de sources internationales",""
