Code Domaine;Code zone (M49);Zone;Code année;Année;Unité;Valeur
OA;4;Afghanistan;2016;2016;1000 personnes;34636.207
OA;4;Afghanistan;2019;2019;1000 personnes;37769.499
OA;710;Afrique du Sud;2016;2016;1000 personnes;56422.274
OA;710;Afrique du Sud;2019;2019;1000 personnes;58087.055
OA;8;Albanie;2016;2016;1000 personnes;2881.063
OA;8;Albanie;2019;2019;1000 personnes;2873.883
OA;12;Algérie;2016;2016;1000 personnes;40339.329
OA;12;Algérie;2019;2019;1000 personnes;42705.368
OA;276;Allemagne;2016;2016;1000 personnes;82331.423
OA;276;Allemagne;2019;2019;1000 personnes;83148.141
OA;20;Andorre;2016;2016;1000 personnes;72.54
OA;20;Andorre;2019;2019;1000 personnes;76.343
OA;24;Angola;2016;2016;1000 personnes;29154.746
OA;24;Angola;2019;2019;1000 personnes;32353.588
OA;660;Anguilla;2016;2016;1000 personnes;14.813
OA;660;Anguilla;2019;2019;1000 personnes;15.38
OA;28;Antigua-et-Barbuda;2016;2016;1000 personnes;90.564
OA;28;Antigua-et-Barbuda;2019;2019;1000 personnes;92.117
OA;682;Arabie saoudite;2016;2016;1000 personnes;33416.27
OA;682;Arabie saoudite;2019;2019;1000 personnes;35827.362
OA;32;Argentine;2016;2016;1000 personnes;43668.241
OA;32;Argentine;2019;2019;1000 personnes;44745.52
OA;51;Arménie;2016;2016;1000 personnes;2865.835
OA;51;Arménie;2019;2019;1000 personnes;2820.602
OA;533;Aruba;2016;2016;1000 personnes;104.874
OA;533;Aruba;2019;2019;1000 personnes;106.442
OA;36;Australie;2016;2016;1000 personnes;24195.701
OA;36;Australie;2019;2019;1000 personnes;25357.17
OA;40;Autriche;2016;2016;1000 personnes;8736.487
OA;40;Autriche;2019;2019;1000 personnes;8879.94
OA;31;Azerbaïdjan;2016;2016;1000 personnes;9976.248
OA;31;Azerbaïdjan;2019;2019;1000 personnes;10232.753
OA;44;Bahamas;2016;2016;1000 personnes;395.976
OA;44;Bahamas;2019;2019;1000 personnes;404.557
OA;48;Bahreïn;2016;2016;1000 personnes;1409.661
OA;48;Bahreïn;2019;2019;1000 personnes;1494.188
OA;50;Bangladesh;2016;2016;1000 personnes;159784.568
OA;50;Bangladesh;2019;2019;1000 personnes;165516.222
OA;52;Barbade;2016;2016;1000 personnes;278.649
OA;52;Barbade;2019;2019;1000 personnes;280.18
OA;112;Bélarus;2016;2016;1000 personnes;9708.11
OA;112;Bélarus;2019;2019;1000 personnes;9673.971
OA;56;Belgique;2016;2016;1000 personnes;11316.836
OA;56;Belgique;2019;2019;1000 personnes;11510.568
OA;84;Belize;2016;2016;1000 personnes;367.313
OA;84;Belize;2019;2019;1000 personnes;389.095
OA;204;Bénin;2016;2016;1000 personnes;11260.085
OA;204;Bénin;2019;2019;1000 personnes;12290.444
OA;60;Bermudes;2016;2016;1000 personnes;63.068
OA;60;Bermudes;2019;2019;1000 personnes;63.812
OA;64;Bhoutan;2016;2016;1000 personnes;749.761
OA;64;Bhoutan;2019;2019;1000 personnes;767.459
OA;68;Bolivie;2016;2016;1000 personnes;11263.015
OA;68;Bolivie;2019;2019;1000 personnes;11777.315
OA;535;Bonaire Saint-Eustache et Saba;2016;2016;1000 personnes;23.77
OA;535;Bonaire Saint-Eustache et Saba;2019;2019;1000 personnes;25.57
OA;70;Bosnie-Herzégovine;2016;2016;1000 personnes;3480.986
OA;70;Bosnie-Herzégovine;2019;2019;1000 personnes;3360.711
OA;72;Botswana;2016;2016;1000 personnes;2352.416
OA;72;Botswana;2019;2019;1000 personnes;2499.702
OA;76;Brésil;2016;2016;1000 personnes;206859.578
OA;76;Brésil;2019;2019;1000 personnes;211782.878
OA;96;Brunéi Darussalam;2016;2016;1000 personnes;425.994
OA;96;Brunéi Darussalam;2019;2019;1000 personnes;438.048
OA;100;Bulgarie;2016;2016;1000 personnes;7245.975
OA;100;Bulgarie;2019;2019;1000 personnes;7052.532
OA;854;Burkina Faso;2016;2016;1000 personnes;19275.498
OA;854;Burkina Faso;2019;2019;1000 personnes;20951.639
OA;108;Burundi;2016;2016;1000 personnes;10903.327
OA;108;Burundi;2019;2019;1000 personnes;11874.838
OA;132;Cabo Verde;2016;2016;1000 personnes;558.394
OA;132;Cabo Verde;2019;2019;1000 personnes;577.03
OA;116;Cambodge;2016;2016;1000 personnes;15624.584
OA;116;Cambodge;2019;2019;1000 personnes;16207.746
OA;120;Cameroun;2016;2016;1000 personnes;23711.63
OA;120;Cameroun;2019;2019;1000 personnes;25782.341
OA;124;Canada;2016;2016;1000 personnes;36113.532
OA;124;Canada;2019;2019;1000 personnes;37522.584
OA;152;Chili;2016;2016;1000 personnes;18083.879
OA;152;Chili;2019;2019;1000 personnes;19039.485
OA;159;Chine;2016;2016;1000 personnes;1433546.767
OA;159;Chine;2019;2019;1000 personnes;1453801.543
OA;344;Chine - RAS de Hong-Kong;2016;2016;1000 personnes;7435.927
OA;344;Chine - RAS de Hong-Kong;2019;2019;1000 personnes;7496.122
OA;446;Chine - RAS de Macao;2016;2016;1000 personnes;626.688
OA;446;Chine - RAS de Macao;2019;2019;1000 personnes;663.653
OA;156;Chine, continentale;2016;2016;1000 personnes;1401889.681
OA;156;Chine, continentale;2019;2019;1000 personnes;1421864.031
OA;158;Chine, Taiwan Province de;2016;2016;1000 personnes;23594.471
OA;158;Chine, Taiwan Province de;2019;2019;1000 personnes;23777.737
OA;196;Chypre;2016;2016;1000 personnes;1197.881
OA;196;Chypre;2019;2019;1000 personnes;1228.836
OA;170;Colombie;2016;2016;1000 personnes;47625.955
OA;170;Colombie;2019;2019;1000 personnes;50187.406
OA;174;Comores;2016;2016;1000 personnes;746.232
OA;174;Comores;2019;2019;1000 personnes;790.986
OA;178;Congo;2016;2016;1000 personnes;5186.824
OA;178;Congo;2019;2019;1000 personnes;5570.733
OA;188;Costa Rica;2016;2016;1000 personnes;4945.205
OA;188;Costa Rica;2019;2019;1000 personnes;5084.532
OA;384;Côte d'Ivoire;2016;2016;1000 personnes;24213.622
OA;384;Côte d'Ivoire;2019;2019;1000 personnes;26147.551
OA;191;Croatie;2016;2016;1000 personnes;4223.751
OA;191;Croatie;2019;2019;1000 personnes;4129.752
OA;192;Cuba;2016;2016;1000 personnes;11342.012
OA;192;Cuba;2019;2019;1000 personnes;11316.697
OA;531;Curaçao;2016;2016;1000 personnes;170.739
OA;531;Curaçao;2019;2019;1000 personnes;193.107
OA;208;Danemark;2016;2016;1000 personnes;5706.857
OA;208;Danemark;2019;2019;1000 personnes;5795.878
OA;262;Djibouti;2016;2016;1000 personnes;1023.261
OA;262;Djibouti;2019;2019;1000 personnes;1073.994
OA;212;Dominique;2016;2016;1000 personnes;70.075
OA;212;Dominique;2019;2019;1000 personnes;71.428
OA;818;Égypte;2016;2016;1000 personnes;99784.03
OA;818;Égypte;2019;2019;1000 personnes;105618.671
OA;222;El Salvador;2016;2016;1000 personnes;6250.51
OA;222;El Salvador;2019;2019;1000 personnes;6280.217
OA;784;Émirats arabes unis;2016;2016;1000 personnes;8994.263
OA;784;Émirats arabes unis;2019;2019;1000 personnes;9211.657
OA;218;Équateur;2016;2016;1000 personnes;16439.585
OA;218;Équateur;2019;2019;1000 personnes;17343.74
